%Reference (Lon,Lat): -164.35598680205956,54.54378486124902, Dimensions: 521,868, Extent: -164.95272888220853,-164.06647286421406,54.38869946788435,54.92045307868102
-164.829 54.548 191.328705 33.473770 -0.002855 0.000002005   357   373   108   135
-164.830 54.531 191.331757 33.451019 -0.003393 0.000001989   373   390   108   135
-164.810 54.552 191.344635 33.394367 -0.001811 0.000008121   357   365   135   148
-164.810 54.544 191.346115 33.384407 -0.001734 0.000006801   365   373   135   148
-164.795 54.552 191.356003 33.336498 -0.000448 0.000002776   357   365   148   162
-164.795 54.545 191.357452 33.326893 -0.000861 0.000006543   365   373   148   162
-164.810 54.536 191.347565 33.373486 -0.002553 0.000006292   373   381   135   148
-164.810 54.528 191.349182 33.361332 -0.002979 0.000006299   381   390   135   148
-164.799 54.537 191.355591 33.333958 -0.002091 0.000010409   373   377   148   155
-164.800 54.534 191.356277 33.328690 -0.002413 0.000035184   377   381   148   155
-164.793 54.538 191.361481 33.303993 -0.002279 0.000116203   373   377   155   162
-164.798 54.527 191.360428 33.304714 -0.002156 0.000012962   381   390   148   162
-164.774 54.581 191.367981 33.283169 -0.001493 0.000001517   325   341   162   189
-164.774 54.565 191.370911 33.263992 -0.000731 0.000001161   341   357   162   189
-164.753 54.581 191.391006 33.167213 -0.001024 0.000002607   325   341   189   217
-164.754 54.565 191.393921 33.149029 -0.000863 0.000002182   341   357   189   217
-164.771 54.547 191.387115 33.176544 -0.000300 0.000000969   357   390   162   217
-164.928 54.520 191.244537 33.882584 -0.002111 0.000027753   390   406     0    27
-164.923 54.521 191.257202 33.821114 -0.002867 0.000036415   390   394    27    33
-164.924 54.518 191.257919 33.815197 -0.001785 0.000044484   394   398    27    33
-164.916 54.521 191.262650 33.793255 -0.003573 0.000012979   390   394    33    40
-164.916 54.517 191.263397 33.787315 -0.003438 0.000019791   394   398    33    40
-164.915 54.513 191.261963 33.791039 -0.002468 0.000080856   398   406    27    40
-164.906 54.519 191.271820 33.745342 -0.003748 0.000004484   390   398    40    54
-164.905 54.512 191.273300 33.733028 -0.003897 0.000027464   398   406    40    54
-164.902 54.502 191.270081 33.743149 -0.003476 0.000040780   406   422    27    54
-164.905 54.482 191.263351 33.765167 -0.001625 0.000009104   422   455     0    54
-164.871 54.507 191.302444 33.584595 -0.004179 0.000000878   390   422    54   108
-164.895 54.487 191.285645 33.658607 -0.002206 0.000054975   422   426    54    60
-164.897 54.484 191.286423 33.652355 -0.001672 0.000050994   426   430    54    60
-164.888 54.488 191.291183 33.630657 -0.003747 0.000027852   422   426    60    67
-164.888 54.484 191.291916 33.624344 -0.002606 0.000022641   426   430    60    67
-164.897 54.480 191.287216 33.646191 -0.001730 0.000075330   430   434    54    60
-164.895 54.474 191.288040 33.639767 -0.001330 0.000101289   434   438    54    60
-164.888 54.480 191.292679 33.618553 -0.002794 0.000030846   430   434    60    67
-164.886 54.476 191.293381 33.612614 -0.001662 0.000095372   434   438    60    67
-164.878 54.486 191.300262 33.583668 -0.003291 0.000007998   422   430    67    81
-164.876 54.478 191.301758 33.571327 -0.002605 0.000007362   430   438    67    81
-164.874 54.467 191.298660 33.579990 -0.002424 0.000005552   438   455    54    81
-164.857 54.482 191.318161 33.490589 -0.002268 0.000000939   422   438    81   108
-164.857 54.465 191.321243 33.464798 -0.001927 0.000000734   438   455    81   108
-164.856 54.446 191.295090 33.576763 -0.002392 0.000002901   455   521     0   108
-164.829 54.514 191.334778 33.427364 -0.004010 0.000002811   390   406   108   135
-164.837 54.502 191.331146 33.438450 -0.004121 0.000023176   406   414   108   121
-164.836 54.493 191.332672 33.425320 -0.003073 0.000012864   414   422   108   121
-164.823 54.502 191.342453 33.381771 -0.003416 0.000007605   406   414   121   135
-164.823 54.494 191.343918 33.368702 -0.002685 0.000013544   414   422   121   135
-164.810 54.519 191.350693 33.349617 -0.003289 0.000004785   390   398   135   148
-164.809 54.510 191.352203 33.338272 -0.002694 0.000004738   398   406   135   148
-164.798 54.518 191.362030 33.292889 -0.002708 0.000012161   390   398   148   162
-164.799 54.512 191.360214 33.299194 -0.002587 0.000014219   398   402   148   155
-164.798 54.508 191.360931 33.293568 -0.002719 0.000015737   402   406   148   155
-164.793 54.512 191.365967 33.270271 -0.002655 0.000088874   398   402   155   162
-164.793 54.508 191.366867 33.263958 -0.002798 0.000044868   402   406   155   162
-164.802 54.498 191.360321 33.289360 -0.001364 0.000002567   406   422   135   162
-164.829 54.482 191.340714 33.376476 -0.001704 0.000001007   422   438   108   135
-164.830 54.465 191.343765 33.349895 -0.002141 0.000002813   438   455   108   135
-164.802 54.482 191.363266 33.262306 -0.000698 0.000000925   422   438   135   162
-164.801 54.465 191.366333 33.234787 -0.002494 0.000003609   438   455   135   162
-164.777 54.497 191.393082 33.131371 0.000352 0.000002844   390   422   162   217
-164.774 54.482 191.385849 33.148369 0.000072 0.000001739   422   438   162   189
-164.774 54.464 191.388947 33.119957 -0.000989 0.000002321   438   455   162   189
-164.757 54.483 191.408844 33.033710 -0.000199 0.000007539   422   438   189   217
-164.755 54.468 191.405197 33.041565 -0.000532 0.000011684   438   446   189   203
-164.753 54.460 191.406708 33.026947 0.000200 0.000005933   446   455   189   203
-164.743 54.465 191.416977 32.982521 0.001260 0.000038085   438   446   203   217
-164.739 54.460 191.418610 32.967018 0.001579 0.000002532   446   455   203   217
-164.814 54.439 191.359711 33.252411 -0.001940 0.000000666   455   488   108   162
-164.806 54.415 191.365829 33.200497 -0.001890 0.000002384   488   521   108   162
-164.782 54.452 191.385406 33.128708 -0.001826 0.000009788   455   463   162   175
-164.782 54.444 191.386902 33.115273 -0.002253 0.000009305   463   471   162   175
-164.768 54.452 191.396729 33.070938 -0.001609 0.000005564   455   463   175   189
-164.768 54.444 191.398193 33.057411 -0.001129 0.000014458   463   471   175   189
-164.782 54.436 191.388336 33.102337 -0.002514 0.000010029   471   479   162   175
-164.781 54.427 191.389908 33.088737 -0.001853 0.000008076   479   488   162   175
-164.768 54.436 191.399704 33.043682 -0.000669 0.000007493   471   479   175   189
-164.768 54.427 191.401306 33.029598 -0.000784 0.000004587   479   488   175   189
-164.746 54.448 191.414963 32.974567 0.000527 0.000001611   455   471   189   217
-164.746 54.431 191.418030 32.945637 -0.000414 0.000002075   471   488   189   217
-164.775 54.414 191.398117 33.037743 -0.001093 0.000001467   488   504   162   189
-164.773 54.404 191.401184 33.011311 -0.000907 0.000004818   504   521   162   189
-164.746 54.414 191.421112 32.917904 -0.000305 0.000001730   488   504   189   217
-164.746 54.401 191.424179 32.890808 -0.000591 0.000001458   504   521   189   217
-164.715 54.646 191.402130 33.134495 -0.001785 0.000002620   260   276   217   244
-164.718 54.631 191.405060 33.114620 -0.001111 0.000001981   276   292   217   244
-164.691 54.647 191.424774 33.017422 -0.001600 0.000001448   260   276   244   271
-164.698 54.635 191.421127 33.033024 -0.000947 0.000006549   276   284   244   257
-164.697 54.627 191.422546 33.023502 -0.000265 0.000005056   284   292   244   257
-164.684 54.635 191.432343 32.975163 -0.001130 0.000007774   276   284   257   271
-164.684 54.627 191.433838 32.965481 0.001026 0.000004151   284   292   257   271
-164.710 54.615 191.420837 33.025864 0.000274 0.000000665   292   325   217   271
-164.662 54.645 191.447403 32.900417 -0.000735 0.000005022   260   276   271   298
-164.670 54.634 191.443695 32.916710 -0.000638 0.000009185   276   284   271   284
-164.670 54.627 191.445206 32.907196 0.001291 0.000007425   284   292   271   284
-164.656 54.635 191.455032 32.858204 -0.000179 0.000006762   276   284   284   298
-164.656 54.627 191.456512 32.848793 0.001096 0.000006940   284   292   284   298
-164.634 54.645 191.470047 32.782749 0.000123 0.000003615   260   276   298   325
-164.642 54.635 191.466339 32.799191 0.000413 0.000006391   276   284   298   311
-164.642 54.627 191.467789 32.789703 0.001261 0.000008577   284   292   298   311
-164.629 54.635 191.477753 32.739395 0.001243 0.000004208   276   284   311   325
-164.629 54.627 191.479141 32.729965 0.001954 0.000006079   284   292   311   325
-164.670 54.619 191.446640 32.897835 0.001920 0.000001422   292   300   271   284
-164.669 54.612 191.448013 32.888691 0.001953 0.000005671   300   308   271   284
-164.656 54.619 191.457977 32.839550 0.002559 0.000003697   292   300   284   298
-164.656 54.611 191.459442 32.830128 0.002896 0.000002983   300   308   284   298
-164.653 54.604 191.456238 32.843418 0.003188 0.000010891   308   325   271   298
-164.643 54.619 191.469208 32.780422 0.002668 0.000007378   292   300   298   311
-164.642 54.611 191.470673 32.770779 0.003536 0.000003148   300   308   298   311
-164.630 54.619 191.480621 32.720100 0.003049 0.000007964   292   300   311   325
-164.629 54.611 191.482071 32.710293 0.003240 0.000004272   300   308   311   325
-164.646 54.604 191.468826 32.779148 0.003683 0.000010571   308   312   298   304
-164.644 54.600 191.469604 32.774250 0.004073 0.000027875   312   316   298   304
-164.639 54.604 191.474289 32.749996 0.003983 0.000008110   308   312   304   311
-164.640 54.600 191.475021 32.745247 0.004500 0.000013102   312   316   304   311
-164.640 54.594 191.473709 32.750793 0.005272 0.000024912   316   325   298   311
-164.629 54.602 191.483490 32.700535 0.004095 0.000003115   308   316   311   325
-164.628 54.594 191.485031 32.689842 0.005359 0.000006710   316   325   311   325
-164.623 54.587 191.452362 32.853539 0.006701 0.000027449   325   390   217   325
-164.618 54.643 191.492691 32.664902 -0.000697 0.000037447   260   276   325   352
-164.618 54.635 191.488998 32.680489 0.001504 0.000019656   276   284   325   338
-164.616 54.627 191.490463 32.670395 0.002100 0.000011048   284   292   325   338
-164.600 54.632 191.500320 32.621124 -0.000672 0.000057575   276   284   338   352
-164.602 54.626 191.501801 32.610817 0.000462 0.000011697   284   292   338   352
-164.576 54.652 191.515350 32.546967 0.001006 0.000077136   260   276   352   379
-164.582 54.634 191.511719 32.561340 0.001375 0.000053712   276   284   352   365
-164.586 54.626 191.513184 32.550789 0.002001 0.000011676   284   292   352   365
-164.572 54.634 191.522980 32.502419 0.000557 0.000011873   276   284   365   379
-164.573 54.627 191.524429 32.491661 0.002045 0.000005161   284   292   365   379
-164.614 54.619 191.491943 32.660244 0.003084 0.000009050   292   300   325   338
-164.615 54.611 191.493423 32.649906 0.003984 0.000003228   300   308   325   338
-164.601 54.619 191.503250 32.600475 0.002536 0.000009044   292   300   338   352
-164.601 54.611 191.504669 32.590271 0.004434 0.000005729   300   308   338   352
-164.614 54.602 191.494888 32.639614 0.004072 0.000002269   308   316   325   338
-164.615 54.594 191.496429 32.628700 0.004406 0.000005525   316   325   325   338
-164.601 54.602 191.506134 32.579586 0.004792 0.000004910   308   316   338   352
-164.601 54.594 191.507675 32.568176 0.004796 0.000006529   316   325   338   352
-164.580 54.615 191.521210 32.503979 0.003296 0.000001429   292   308   352   379
-164.587 54.602 191.517517 32.518776 0.004423 0.000005593   308   316   352   365
-164.591 54.596 191.515671 32.526356 0.005012 0.000023260   316   320   352   358
-164.591 54.591 191.516525 32.519917 0.005198 0.000013140   320   325   352   358
-164.584 54.596 191.521133 32.496887 0.005689 0.000027159   316   320   358   365
-164.584 54.592 191.521912 32.491039 0.005291 0.000031804   320   325   358   365
-164.573 54.602 191.528854 32.458191 0.004449 0.000003091   308   316   365   379
-164.573 54.594 191.530426 32.445999 0.005218 0.000003920   316   325   365   379
-164.559 54.650 191.531479 32.464943 -0.001543 0.000045899   260   268   379   392
-164.558 54.643 191.532898 32.453865 -0.000806 0.000010465   268   276   379   392
